x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.06,0.1,0.1,0.15,0.65,0.7,0.15054,0.0059,0.00856,0.09674,0.00472,0.00575,0.90967,0.88135,0.98059,1.07458,1.07913
0.06,0.1,0.1,0.15,0.7,0.75,0.11265,0.00431,0.00684,0.07558,0.00344,0.00509,0.87238,0.82514,0.97949,1.07986,1.08374
0.06,0.1,0.1,0.15,0.75,0.85,0.08719,0.0024,0.00642,0.05089,0.00173,0.00472,0.79199,0.71638,0.97852,1.08582,1.08869
0.06,0.1,0.15,0.2,0.45,0.5,0.40178,0.0135,0.02125,0.30889,0.01176,0.01642,0.97649,0.96847,0.9868,1.05412,1.06116
0.06,0.1,0.15,0.2,0.5,0.55,0.30853,0.00921,0.01649,0.20981,0.0075,0.0113,0.96737,0.95574,0.98593,1.06382,1.07026
0.06,0.1,0.15,0.2,0.55,0.6,0.23424,0.0076,0.01263,0.16477,0.00633,0.00901,0.95713,0.94114,0.98583,1.06839,1.07413
0.06,0.1,0.15,0.2,0.6,0.65,0.18439,0.00663,0.0101,0.11622,0.00516,0.0065,0.9401,0.92481,0.98584,1.07322,1.07825
0.06,0.1,0.15,0.2,0.65,0.7,0.14155,0.0057,0.00799,0.09572,0.00466,0.00563,0.91959,0.88839,0.98584,1.0782,1.08253
0.06,0.1,0.15,0.2,0.7,0.75,0.11182,0.00498,0.00654,0.07049,0.0039,0.00447,0.89344,0.85174,0.98584,1.08298,1.08659
0.06,0.1,0.15,0.2,0.75,0.85,0.0808,0.00294,0.00546,0.04495,0.00209,0.00361,0.82545,0.7687,0.98584,1.09007,1.09268
