x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.04,0.06,0.2,0.3,0.65,0.7,0.22551,0.00653,0.01099,0.12072,0.00466,0.0062,0.9255,0.90222,0.98424,1.0893,1.09669
0.04,0.06,0.2,0.3,0.7,0.75,0.15966,0.00543,0.00813,0.0879,0.00392,0.00487,0.90223,0.86722,0.98424,1.09429,1.10134
0.04,0.06,0.2,0.3,0.75,0.85,0.10801,0.00314,0.00677,0.05859,0.00219,0.0044,0.82138,0.7664,0.98411,1.10195,1.10855
0.04,0.06,0.3,0.5,0.2,0.25,2.96419,0.04532,0.13251,2.32083,0.03937,0.10508,0.99718,0.99658,0.99163,1.06993,1.0776
0.04,0.06,0.3,0.5,0.25,0.3,2.08707,0.0256,0.09249,1.59435,0.02212,0.07149,0.9957,0.99476,0.99037,1.06367,1.07184
0.04,0.06,0.3,0.5,0.3,0.35,1.48504,0.02083,0.06618,1.13095,0.01806,0.05102,0.9943,0.99297,0.99025,1.06758,1.07548
0.04,0.06,0.3,0.5,0.35,0.4,1.1127,0.01799,0.04999,0.77321,0.01481,0.03518,0.99129,0.98927,0.99025,1.07258,1.08016
0.04,0.06,0.3,0.5,0.4,0.45,0.83482,0.01559,0.03781,0.54241,0.01232,0.02487,0.98732,0.98532,0.99025,1.07763,1.08487
0.04,0.06,0.3,0.5,0.45,0.5,0.61144,0.0134,0.02791,0.40442,0.01069,0.0187,0.98296,0.98021,0.99022,1.08176,1.0887
0.04,0.06,0.3,0.5,0.5,0.55,0.44538,0.01195,0.02051,0.29701,0.00963,0.01389,0.97814,0.97113,0.98997,1.0856,1.09234
0.04,0.06,0.3,0.5,0.55,0.6,0.35311,0.01149,0.01643,0.20259,0.00848,0.00965,0.96729,0.95841,0.98961,1.08743,1.09405
0.04,0.06,0.3,0.5,0.6,0.65,0.28227,0.01153,0.01324,0.15828,0.00839,0.0076,0.95597,0.94467,0.98927,1.08867,1.09512
0.04,0.06,0.3,0.5,0.65,0.7,0.20459,0.01126,0.00973,0.11979,0.00833,0.00602,0.94693,0.9208,0.98895,1.09113,1.09742
0.04,0.06,0.3,0.5,0.7,0.75,0.15637,0.01211,0.00773,0.07775,0.0082,0.00422,0.91484,0.89068,0.98866,1.09009,1.09617
0.04,0.06,0.5,0.7,0.2,0.25,2.78828,0.06074,0.12654,2.31884,0.05491,0.10585,0.99797,0.99768,0.99398,1.07884,1.08333
0.04,0.06,0.5,0.7,0.25,0.3,2.00883,0.05213,0.09186,1.58741,0.0455,0.07308,0.99739,0.9968,0.99398,1.08398,1.08812
0.04,0.06,0.5,0.7,0.3,0.35,1.54142,0.04606,0.07093,1.01488,0.03592,0.04723,0.99628,0.99559,0.99396,1.0884,1.09226
0.04,0.06,0.5,0.7,0.35,0.4,1.03315,0.04106,0.04815,0.77986,0.03558,0.03663,0.99428,0.99324,0.9937,1.09574,1.09977
0.04,0.06,0.5,0.7,0.4,0.45,0.78395,0.04723,0.03718,0.50854,0.03678,0.02425,0.99038,0.98994,0.99332,1.10357,1.10786
0.06,0.1,0.1,0.15,0.6,0.65,0.29783,0.01041,0.0137,0.15463,0.00745,0.00743,0.95119,0.92512,0.98156,1.06787,1.07621
0.06,0.1,0.1,0.15,0.65,0.7,0.24084,0.00765,0.01125,0.11988,0.00534,0.00591,0.93964,0.91077,0.98059,1.07398,1.08172
0.06,0.1,0.1,0.15,0.7,0.75,0.17973,0.00563,0.00879,0.09395,0.00395,0.00518,0.91357,0.86328,0.97949,1.07961,1.08676
0.06,0.1,0.1,0.15,0.75,0.85,0.13237,0.00306,0.00756,0.06192,0.00197,0.00467,0.8492,0.76264,0.97852,1.0861,1.09235
0.06,0.1,0.15,0.2,0.45,0.5,0.63896,0.01734,0.02804,0.40264,0.0136,0.01794,0.98114,0.97373,0.9868,1.05217,1.06201
0.06,0.1,0.15,0.2,0.5,0.55,0.49339,0.01187,0.02199,0.28137,0.00886,0.0128,0.97392,0.96291,0.98593,1.0622,1.07154
0.06,0.1,0.15,0.2,0.55,0.6,0.3749,0.00981,0.01689,0.21639,0.00739,0.01001,0.96672,0.95033,0.98583,1.06713,1.07586
0.06,0.1,0.15,0.2,0.6,0.65,0.28745,0.00843,0.01316,0.14994,0.00597,0.00709,0.95673,0.93943,0.98584,1.07234,1.08043
0.06,0.1,0.15,0.2,0.65,0.7,0.22299,0.00731,0.01043,0.12074,0.00536,0.00592,0.94355,0.91554,0.98584,1.07769,1.08515
0.06,0.1,0.15,0.2,0.7,0.75,0.17662,0.00646,0.0085,0.0896,0.00453,0.00467,0.92588,0.88724,0.98584,1.08284,1.08966
0.06,0.1,0.15,0.2,0.75,0.85,0.1185,0.00368,0.00643,0.05429,0.00237,0.00355,0.87017,0.81225,0.98584,1.09047,1.09639
