#: table_doi: 10.17182/hepdata.77892.v1/t2,,,,,,,,,,,,,,
#: name: Table 2,,,,,,,,,,,,,,
#: description: Multiplicities of negatively charged kaons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{K^{-}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the kaon count, $DVM^{K^{-}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the kaon count, $\eta^{K^{-}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{K^{-}}$, as follows:,
,,,,,,,,,,,,,,
$M^{K^{-}}$ =  $M_{raw}^{K^{-}}$ * $\frac{\eta^{K^{-}}} {\eta^{DIS}}$ * $\frac{ DVM^{K^{-}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data2.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$d-->\mu^{+}$K^{-}$X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$d-->$\mu^{+}K^{-}$X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{K^{-}}$,$z^{K^{-}}$ LOW,$z^{K^{-}}$ HIGH,$M^{K^{-}}$,stat +,stat -,sys +,sys -
0.0345,0.03,0.04,0.34,0.3,0.5,3.485,0.623,0.6,0.65,0.035,0.003,-0.003,0.0031,-0.0031
0.0345,0.03,0.04,0.33,0.3,0.5,3.361,0.674,0.65,0.7,0.0237,0.003,-0.003,0.0023,-0.0023
0.0345,0.03,0.04,0.32,0.3,0.5,3.244,0.723,0.7,0.75,0.0178,0.0033,-0.0033,0.0018,-0.0018
0.0345,0.03,0.04,0.59,0.5,0.7,6.033,0.223,0.2,0.25,0.354,0.0112,-0.0112,0.0273,-0.0273
0.0345,0.03,0.04,0.59,0.5,0.7,6.033,0.274,0.25,0.3,0.2764,0.0101,-0.0101,0.0215,-0.0215
0.0345,0.03,0.04,0.59,0.5,0.7,6.016,0.324,0.3,0.35,0.2014,0.009,-0.009,0.0155,-0.0155
0.0345,0.03,0.04,0.56,0.5,0.7,5.731,0.374,0.35,0.4,0.1476,0.0089,-0.0089,0.0116,-0.0116
0.0345,0.03,0.04,0.53,0.5,0.7,5.402,0.424,0.4,0.45,0.1123,0.0103,-0.0103,0.0088,-0.0088
0.0487,0.04,0.06,0.14,0.1,0.15,2.099,0.574,0.55,0.6,0.04,0.0043,-0.0043,0.0027,-0.0027
0.0487,0.04,0.06,0.14,0.1,0.15,2,0.624,0.6,0.65,0.0243,0.0023,-0.0023,0.0015,-0.0015
0.0487,0.04,0.06,0.13,0.1,0.15,1.917,0.674,0.65,0.7,0.0183,0.0016,-0.0016,0.001,-0.001
0.0487,0.04,0.06,0.13,0.1,0.15,1.844,0.724,0.7,0.75,0.0123,0.0012,-0.0012,0.0007,-0.0007
0.0487,0.04,0.06,0.12,0.1,0.15,1.788,0.794,0.75,0.85,0.0069,0.0005,-0.0005,0.0004,-0.0004
0.0487,0.04,0.06,0.19,0.15,0.2,2.854,0.423,0.4,0.45,0.0992,0.0087,-0.0087,0.006,-0.006
0.0487,0.04,0.06,0.18,0.15,0.2,2.668,0.474,0.45,0.5,0.0648,0.0038,-0.0038,0.0039,-0.0039
0.0487,0.04,0.06,0.17,0.15,0.2,2.536,0.524,0.5,0.55,0.0534,0.0028,-0.0028,0.0032,-0.0032
0.0487,0.04,0.06,0.17,0.15,0.2,2.505,0.574,0.55,0.6,0.0354,0.0021,-0.0021,0.0022,-0.0022
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.624,0.6,0.65,0.025,0.0018,-0.0018,0.0015,-0.0015
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.674,0.65,0.7,0.0169,0.0015,-0.0015,0.001,-0.001
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.724,0.7,0.75,0.0124,0.0013,-0.0013,0.0007,-0.0007
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.793,0.75,0.85,0.0093,0.0008,-0.0008,0.0006,-0.0006
0.0487,0.04,0.06,0.27,0.2,0.3,3.998,0.324,0.3,0.35,0.1773,0.0067,-0.0067,0.011,-0.011
0.0487,0.04,0.06,0.25,0.2,0.3,3.68,0.374,0.35,0.4,0.1245,0.0039,-0.0039,0.0076,-0.0076
0.0487,0.04,0.06,0.24,0.2,0.3,3.526,0.424,0.4,0.45,0.0942,0.003,-0.003,0.0058,-0.0058
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.474,0.45,0.5,0.0701,0.0026,-0.0026,0.0043,-0.0043
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.524,0.5,0.55,0.0534,0.0022,-0.0022,0.0033,-0.0033
